date,currency_code,rate,units
2024.03.08,DZD,0.28321,1
2024.03.08,BDT,0.3459,1
2024.03.08,AMD,0.094144,1
2024.03.08,DOP,0.65004,1
2024.03.08,IRR,0.00090593,1
2024.03.08,IQD,0.029045,1
2024.03.08,KGS,0.42551,1
2024.03.08,LBP,0.000425,1
2024.03.08,LYD,7.8762,1
2024.03.08,MYR,8.022,1
2024.03.08,MAD,3.7715,1
2024.03.08,PKR,0.13675,1
2024.03.08,SAR,10.1456,1
2024.03.08,VND,0.0015437,1
2024.03.08,THB,1.05901,1
2024.03.08,AED,10.3594,1
2024.03.08,TND,12.1956,1
2024.03.08,UZS,0.0030447,1
2024.03.08,TWD,1.20401,1
2024.03.08,TMT,10.8712,1
2024.03.08,RSD,0.3516,1
2024.03.08,TJS,3.4733,1
2024.03.08,GEL,14.3241,1
2024.03.08,BRL,7.6217,1
2024.03.08,XAU,82195.83,1
2024.03.08,XAG,920.93,1
2024.03.08,XPT,35033.1,1
2024.03.08,XPD,39726.15,1
2024.03.09,AUD,25.1504,1
2024.03.09,CAD,28.2205,1
2024.03.09,CNY,5.2911,1
2024.03.09,CZK,1.6359,1
2024.03.09,DKK,5.565,1
2024.03.09,HKD,4.8691,1
2024.03.09,HUF,0.104876,10
2024.03.09,INR,0.46002,1
2024.03.09,IDR,0.0024327,1
2024.03.09,ILS,10.6056,1
2024.03.09,JPY,0.25762,10
2024.03.09,KZT,0.085303,100
2024.03.09,KRW,0.028613,1
2024.03.09,MXN,2.2595,1
2024.03.09,MDL,2.1446,1
2024.03.09,NZD,23.4633,1
2024.03.09,NOK,3.6421,1
2024.03.09,RUB,0.41862,1
2024.03.09,SGD,28.5164,1
2024.03.09,ZAR,2.0281,1
2024.03.09,SEK,3.7075,1
2024.03.09,CHF,43.2916,1
2024.03.09,EGP,0.7709,1
2024.03.09,GBP,48.5566,1
2024.03.09,USD,38.0836,1
2024.03.09,BYN,13.8425,1
2024.03.09,AZN,22.4153,1
2024.03.09,RON,8.3464,1
2024.03.09,TRY,1.1959,1
2024.03.09,XDR,50.7339,1
2024.03.09,BGN,21.2129,1
2024.03.09,EUR,41.4883,1
2024.03.09,PLN,9.6419,1
2024.03.09,DZD,0.28321,1
2024.03.09,BDT,0.3459,1
2024.03.09,AMD,0.094144,1
2024.03.09,DOP,0.65004,1
2024.03.09,IRR,0.00090593,1
2024.03.09,IQD,0.029045,1
2024.03.09,KGS,0.42551,1
2024.03.09,LBP,0.000425,1
2024.03.09,LYD,7.8762,1
2024.03.09,MYR,8.022,1
2024.03.09,MAD,3.7715,1
2024.03.09,PKR,0.13675,1
2024.03.09,SAR,10.1456,1
2024.03.09,VND,0.0015437,1
2024.03.09,THB,1.05901,1
2024.03.09,AED,10.3594,1
2024.03.09,TND,12.1956,1
2024.03.09,UZS,0.0030447,1
2024.03.09,TWD,1.20401,1
2024.03.09,TMT,10.8712,1
2024.03.09,RSD,0.3516,1
2024.03.09,TJS,3.4733,1
2024.03.09,GEL,14.3241,1
2024.03.09,BRL,7.6217,1
2024.03.09,XAU,82195.83,1
2024.03.09,XAG,920.93,1
2024.03.09,XPT,35033.1,1
2024.03.09,XPD,39726.15,1
2024.03.10,AUD,25.1504,1
2024.03.10,CAD,28.2205,1
2024.03.10,CNY,5.2911,1
2024.03.10,CZK,1.6359,1
2024.03.10,DKK,5.565,1
2024.03.10,HKD,4.8691,1
2024.03.10,HUF,0.104876,10
2024.03.10,INR,0.46002,1
2024.03.10,IDR,0.0024327,1
2024.03.10,ILS,10.6056,1
2024.03.10,JPY,0.25762,10
2024.03.10,KZT,0.085303,100
2024.03.10,KRW,0.028613,1
2024.03.10,MXN,2.2595,1
2024.03.10,MDL,2.1446,1
2024.03.10,NZD,23.4633,1
2024.03.10,NOK,3.6421,1
2024.03.10,RUB,0.41862,1
2024.03.10,SGD,28.5164,1
2024.03.10,ZAR,2.0281,1
2024.03.10,SEK,3.7075,1
2024.03.10,CHF,43.2916,1
2024.03.10,EGP,0.7709,1
2024.03.10,GBP,48.5566,1
2024.03.10,USD,38.0836,1
2024.03.10,BYN,13.8425,1
2024.03.10,AZN,22.4153,1
2024.03.10,RON,8.3464,1
2024.03.10,TRY,1.1959,1
2024.03.10,XDR,50.7339,1
2024.03.10,BGN,21.2129,1
2024.03.10,EUR,41.4883,1
2024.03.10,PLN,9.6419,1
2024.03.10,DZD,0.28321,1
2024.03.10,BDT,0.3459,1
2024.03.10,AMD,0.094144,1
2024.03.10,DOP,0.65004,1
2024.03.10,IRR,0.00090593,1
2024.03.10,IQD,0.029045,1
2024.03.10,KGS,0.42551,1
2024.03.10,LBP,0.000425,1
2024.03.10,LYD,7.8762,1
2024.03.10,MYR,8.022,1
2024.03.10,MAD,3.7715,1
2024.03.10,PKR,0.13675,1
